event_id,event_name,event_status,prize_pool,event_dates,event_country,event_image_url
882,Champions Tour Philippines Stage 2: Challengers,completed,30000.0,Apr 29 May 29,ph,https://owcdn.net/img/6009f963577f4.png
991,Champions Tour Vietnam Stage 2: Challengers,completed,40760.0,Apr 28 May 29,vn,https://owcdn.net/img/6009f963577f4.png
965,Champions Tour Indonesia Stage 2: Challengers,completed,25000.0,Apr 27 May 29,id,https://owcdn.net/img/6009f963577f4.png
977,Champions Tour Hong Kong & Taiwan Stage 2: Challengers,completed,25000.0,Apr 30 May 29,tw,https://owcdn.net/img/6009f963577f4.png
972,Champions Tour Thailand Stage 2: Challengers,completed,24774.0,Apr 29 May 29,th,https://owcdn.net/img/6009f963577f4.png
963,Champions Tour Malaysia & Singapore Stage 2: Challengers,completed,23823.0,Apr 29 May 29,my,https://owcdn.net/img/6009f963577f4.png
960,Oceania Tour: Stage 2,completed,18574.0,Apr 13 May 22,au,https://owcdn.net/img/61dd0b7c24e22.png
997,Champions Tour Japan Stage 2: Challengers Week 1,completed,0.0,May 10 22,jp,https://owcdn.net/img/6009f963577f4.png
926,Valorant Champions Tour Stage 1: Masters Reykjavík,completed,650000.0,Apr 10 24,is,https://owcdn.net/img/603bfd7bf3f54.png
955,Road to VCT 2022: Stage 2,completed,437.0,Apr 6 19,vn,https://www.vlr.gg/img/vlr/tmp/vlr.png
885,Champions Tour Stage 1: EMEA Promotion,completed,,Apr 1 9,eu,https://owcdn.net/img/6009f963577f4.png
948,Champions Tour LATAM/BR Stage 1: Last Chance Qualifier,completed,,Apr 1,mx,https://owcdn.net/img/6009f963577f4.png
925,Champions Tour Latin America Stage 1: Playoffs,completed,50000.0,Mar 24 27,mx,https://owcdn.net/img/6009f963577f4.png
829,Champions Tour Brazil Stage 1: Challengers 1,completed,72680.0,Jan 13 Mar 27,br,https://owcdn.net/img/6009f963577f4.png
799,Champions Tour North America Stage 1: Challengers,completed,200000.0,Jan 27 Mar 27,us,https://owcdn.net/img/6009f963577f4.png
854,Champions Tour Stage 1: EMEA Challengers,completed,229200.0,Feb 11 Mar 27,eu,https://owcdn.net/img/6009f963577f4.png
853,Champions Tour Japan Stage 1: Challengers Playoffs,completed,17575.0,Mar 23 27,jp,https://owcdn.net/img/6009f963577f4.png
850,Champions Tour Korea Stage 1: Challengers,completed,88389.0,Feb 3 Mar 27,kr,https://owcdn.net/img/6009f963577f4.png
884,Champions Tour Asia-Pacific Stage 1: Challengers Playoffs,completed,150000.0,Mar 9 27,un,https://owcdn.net/img/6009f963577f4.png
845,Champions Tour Latin America South Stage 1: Challengers,completed,15000.0,Jan 20 Mar 13,un,https://owcdn.net/img/6009f963577f4.png
852,Champions Tour Japan Stage 1: Challengers Week 2,completed,0.0,Feb 28 Mar 13,jp,https://owcdn.net/img/6009f963577f4.png
844,Champions Tour Latin America North Stage 1: Challengers,completed,15000.0,Jan 23 Mar 11,un,https://owcdn.net/img/6009f963577f4.png
842,Champions Tour Thailand Stage 1: Challengers,completed,24894.0,Jan 20 Feb 27,th,https://owcdn.net/img/6009f963577f4.png
841,Champions Tour Philippines Stage 1: Challengers,completed,30000.0,Jan 28 Feb 27,ph,https://owcdn.net/img/6009f963577f4.png
840,Valorant Conquerors Championship,completed,30000.0,Jan 21 Feb 27,un,https://owcdn.net/img/61d7b2af13974.png
